window_id,channel index,channel name,sample index,value (uv)
Control1129,0,Fp1,5701,2.702071475349121e-05
Control1129,0,Fp1,5702,2.6275442498657225e-05
Control1129,0,Fp1,5703,3.275591544083862e-05
Control1129,0,Fp1,5704,3.635410295250854e-05
Control1129,0,Fp1,5705,3.248162990717773e-05
Control1129,0,Fp1,5706,2.7340898820361325e-05
Control1129,0,Fp1,5707,2.7718416565686033e-05
Control1129,0,Fp1,5708,3.258737743356323e-05
Control1129,0,Fp1,5709,3.423275982991943e-05
Control1129,0,Fp1,5710,3.114201918196411e-05
Control1129,0,Fp1,5711,2.61969462019104e-05
Control1129,0,Fp1,5712,2.413372055845337e-05
Control1129,0,Fp1,5713,2.8124908114001464e-05
Control1129,0,Fp1,5714,3.440955903673096e-05
Control1129,0,Fp1,5715,3.390628747624512e-05
Control1129,0,Fp1,5716,3.442840005529785e-05
Control1129,0,Fp1,5717,3.538975393796997e-05
Control1129,0,Fp1,5718,3.093168343894043e-05
Control1129,0,Fp1,5719,2.9208859747509763e-05
Control1129,0,Fp1,5720,3.217335484223633e-05
Control1129,0,Fp1,5721,3.142660141273804e-05
Control1129,0,Fp1,5722,3.116826905408325e-05
Control1129,0,Fp1,5723,3.344871179328003e-05
Control1129,0,Fp1,5724,3.39221214420227e-05
Control1129,0,Fp1,5725,3.1466128212683105e-05
Control1129,0,Fp1,5726,2.8424969663098142e-05
Control1129,0,Fp1,5727,2.3968857175646972e-05
Control1129,0,Fp1,5728,2.029514316713562e-05
Control1129,0,Fp1,5729,2.2529831914312744e-05
Control1129,0,Fp1,5730,2.2127543981417847e-05
Control1129,0,Fp1,5731,1.708735395793152e-05
Control1129,0,Fp1,5732,1.8492987224243162e-05
Control1129,0,Fp1,5733,2.6782010194311523e-05
Control1129,0,Fp1,5734,2.9405429804870606e-05
Control1129,0,Fp1,5735,2.573017054673462e-05
Control1129,0,Fp1,5736,2.8012139164056396e-05
Control1129,0,Fp1,5737,2.9024106304925537e-05
Control1129,0,Fp1,5738,2.4274888126861572e-05
Control1129,0,Fp1,5739,1.7525340584420776e-05
Control1129,0,Fp1,5740,1.194941087694702e-05
Control1129,0,Fp1,5741,1.5651085410006714e-05
Control1129,0,Fp1,5742,1.8961141236123657e-05
Control1129,0,Fp1,5743,2.2221440620373534e-05
Control1129,0,Fp1,5744,2.987472375499878e-05
Control1129,0,Fp1,5745,3.567063472219848e-05
Control1129,0,Fp1,5746,3.697335913187866e-05
Control1129,0,Fp1,5747,3.539525842409668e-05
Control1129,0,Fp1,5748,3.3280573136920166e-05
Control1129,0,Fp1,5749,3.473042855666504e-05
Control1129,0,Fp1,5750,3.393410196948852e-05
Control1129,0,Fp1,5751,2.7670020599139403e-05
Control1129,0,Fp1,5752,2.3897593898840332e-05
Control1129,0,Fp1,5753,2.510599400645752e-05
Control1129,0,Fp1,5754,2.8266898226086426e-05
Control1129,0,Fp1,5755,3.523496075474243e-05
Control1129,0,Fp1,5756,4.0101740093737794e-05
Control1129,0,Fp1,5757,3.46658707989624e-05
Control1129,0,Fp1,5758,2.8694504709002683e-05
Control1129,0,Fp1,5759,2.7509299737023925e-05
Control1129,0,Fp1,5760,2.7447319878887938e-05
Control1129,0,Fp1,5761,2.6018361836901855e-05
Control1129,0,Fp1,5762,2.517565987960205e-05
Control1129,0,Fp1,5763,2.277091767783203e-05
Control1129,0,Fp1,5764,1.8706935006890868e-05
Control1129,0,Fp1,5765,1.9526218311248777e-05
Control1129,0,Fp1,5766,2.0247629348880005e-05
Control1129,0,Fp1,5767,1.6477284339733885e-05
Control1129,0,Fp1,5768,9.632269576751708e-06
Control1129,0,Fp1,5769,8.25716355868988e-06
Control1129,0,Fp1,5770,1.3717414865985106e-05
Control1129,0,Fp1,5771,1.902965674021301e-05
Control1129,0,Fp1,5772,1.789599783864441e-05
Control1129,0,Fp1,5773,1.524920278848877e-05
Control1129,0,Fp1,5774,1.5825352910827635e-05
Control1129,0,Fp1,5775,1.698719436413269e-05
Control1129,0,Fp1,5776,1.7514032098980712e-05
Control1129,0,Fp1,5777,2.0188851748645017e-05
Control1129,0,Fp1,5778,2.344876817324829e-05
Control1129,0,Fp1,5779,2.294853048762817e-05
Control1129,0,Fp1,5780,2.3229572204315184e-05
Control1129,0,Fp1,5781,2.648862734224243e-05
Control1129,0,Fp1,5782,2.794037520848999e-05
Control1129,0,Fp1,5783,2.807353787720337e-05
Control1129,0,Fp1,5784,2.9183086712304686e-05
Control1129,0,Fp1,5785,2.975528504871826e-05
Control1129,0,Fp1,5786,2.9790290838671873e-05
Control1129,0,Fp1,5787,2.6017229349230957e-05
Control1129,0,Fp1,5788,2.40516196726593e-05
Control1129,0,Fp1,5789,2.940974517894287e-05
Control1129,0,Fp1,5790,3.1300048895745846e-05
Control1129,0,Fp1,5791,2.7184806256542967e-05
Control1129,0,Fp1,5792,2.1410810415890503e-05
Control1129,0,Fp1,5793,1.4759662641012572e-05
Control1129,0,Fp1,5794,1.4945362306848145e-05
Control1129,0,Fp1,5795,2.1331302330816648e-05
Control1129,0,Fp1,5796,2.6397262409277343e-05
Control1129,0,Fp1,5797,2.92160123012207e-05
Control1129,0,Fp1,5798,3.213160777041015e-05
Control1129,0,Fp1,5799,3.4118774945843506e-05
Control1129,0,Fp1,5800,3.283435809343262e-05
Control1129,0,Fp1,5801,2.6619364103155517e-05
Control1129,0,Fp1,5802,2.484885374008789e-05
Control1129,0,Fp1,5803,2.8205070359716797e-05
Control1129,0,Fp1,5804,2.7996385664508054e-05
Control1129,0,Fp1,5805,2.578609457606201e-05
Control1129,0,Fp1,5806,2.5919841369995116e-05
Control1129,0,Fp1,5807,3.381612059602661e-05
Control1129,0,Fp1,5808,3.9757317810479735e-05
Control1129,0,Fp1,5809,3.935007822425537e-05
Control1129,0,Fp1,5810,3.537900424578857e-05
Control1129,0,Fp1,5811,2.8479779086138914e-05
Control1129,0,Fp1,5812,2.6952837018774412e-05
Control1129,0,Fp1,5813,3.3872390332116696e-05
Control1129,0,Fp1,5814,3.927653209072265e-05
Control1129,0,Fp1,5815,3.799063704387817e-05
Control1129,0,Fp1,5816,3.455697316871338e-05
Control1129,0,Fp1,5817,3.1173100008068844e-05
Control1129,0,Fp1,5818,2.9498922622564696e-05
Control1129,0,Fp1,5819,3.177973491036987e-05
Control1129,0,Fp1,5820,2.9519530917944336e-05
Control1129,0,Fp1,5821,2.511183227842407e-05
Control1129,0,Fp1,5822,3.320360569852905e-05
Control1129,0,Fp1,5823,4.109780472352295e-05
Control1129,0,Fp1,5824,3.478280015098266e-05
Control1129,0,Fp1,5825,2.8030190421484375e-05
Control1129,0,Fp1,5826,2.6893926798272704e-05
Control1129,0,Fp1,5827,3.103067180206909e-05
Control1129,0,Fp1,5828,3.458039182165527e-05
Control1129,0,Fp1,5829,2.8462508649157715e-05
Control1129,0,Fp1,5830,2.395745481293945e-05
Control1129,0,Fp1,5831,2.3603474929785157e-05
Control1129,0,Fp1,5832,2.4079556355361938e-05
Control1129,0,Fp1,5833,2.919351453956909e-05
Control1129,0,Fp1,5834,3.5819482345153806e-05
Control1129,0,Fp1,5835,3.717088584329834e-05
Control1129,0,Fp1,5836,3.246807879812622e-05
Control1129,0,Fp1,5837,3.176993591178589e-05
Control1129,0,Fp1,5838,3.4635937361682126e-05
Control1129,0,Fp1,5839,3.7257023451593016e-05
Control1129,0,Fp1,5840,3.758276862897339e-05
Control1129,0,Fp1,5841,3.473504195380859e-05
Control1129,0,Fp1,5842,3.276690057124634e-05
Control1129,0,Fp1,5843,3.387505167814331e-05
Control1129,0,Fp1,5844,3.468995702358398e-05
Control1129,0,Fp1,5845,2.9841374973321532e-05
Control1129,0,Fp1,5846,2.885103834696655e-05
Control1129,0,Fp1,5847,3.245017059177246e-05
Control1129,0,Fp1,5848,3.150791402750854e-05
Control1129,0,Fp1,5849,2.9540675654852293e-05
Control1129,0,Fp1,5850,3.104030092750244e-05
Control1129,0,Fp1,5851,3.3760026693548585e-05
Control1129,0,Fp1,5852,3.5209631773913574e-05
Control1129,0,Fp1,5853,3.529183547766724e-05
Control1129,0,Fp1,5854,3.185888387764282e-05
Control1129,0,Fp1,5855,2.6327593555902098e-05
Control1129,0,Fp1,5856,3.1684990395776367e-05
Control1129,0,Fp1,5857,4.56822250838562e-05
Control1129,0,Fp1,5858,4.903247826182861e-05
Control1129,0,Fp1,5859,3.9688271825323484e-05
Control1129,0,Fp1,5860,3.332479678046875e-05
Control1129,0,Fp1,5861,3.4920975567755124e-05
Control1129,0,Fp1,5862,3.715137725305176e-05
Control1129,0,Fp1,5863,3.933232797012939e-05
Control1129,0,Fp1,5864,4.0194484873522946e-05
Control1129,0,Fp1,5865,3.80294843512207e-05
Control1129,0,Fp1,5866,3.933139813814697e-05
Control1129,0,Fp1,5867,4.1804652863775636e-05
Control1129,0,Fp1,5868,4.325195720603027e-05
Control1129,0,Fp1,5869,4.264836511928711e-05
Control1129,0,Fp1,5870,3.78951385309143e-05
Control1129,0,Fp1,5871,3.304561174751587e-05
Control1129,0,Fp1,5872,3.278664757994995e-05
Control1129,0,Fp1,5873,3.335771342869263e-05
Control1129,0,Fp1,5874,3.446565293920898e-05
Control1129,0,Fp1,5875,3.493860065219116e-05
Control1129,0,Fp1,5876,3.433734804655762e-05
Control1129,0,Fp1,5877,3.217398665114746e-05
Control1129,0,Fp1,5878,3.006005536234131e-05
Control1129,0,Fp1,5879,3.30729464236145e-05
Control1129,0,Fp1,5880,3.969775193922119e-05
Control1129,0,Fp1,5881,4.2512630511468505e-05
Control1129,0,Fp1,5882,4.132337242572021e-05
Control1129,0,Fp1,5883,3.6961071640649414e-05
Control1129,0,Fp1,5884,3.513870526317749e-05
Control1129,0,Fp1,5885,3.497677144716187e-05
Control1129,0,Fp1,5886,3.4814885314837644e-05
Control1129,0,Fp1,5887,3.748467135482788e-05
Control1129,0,Fp1,5888,3.9567846662677e-05
Control1129,0,Fp1,5889,3.6865951616986085e-05
Control1129,0,Fp1,5890,3.431128592897339e-05
Control1129,0,Fp1,5891,3.263612208710327e-05
Control1129,0,Fp1,5892,2.6860449866674803e-05
Control1129,0,Fp1,5893,2.264868947560425e-05
Control1129,0,Fp1,5894,2.151385338290405e-05
Control1129,0,Fp1,5895,2.30645031855896e-05
Control1129,0,Fp1,5896,3.1205575582147215e-05
Control1129,0,Fp1,5897,3.4413403534350585e-05
Control1129,0,Fp1,5898,2.756315548623657e-05
Control1129,0,Fp1,5899,2.545050271640625e-05
Control1129,0,Fp1,5900,2.8855237492041015e-05
Control1129,0,Fp1,5901,2.9329737905224608e-05
Control1129,0,Fp1,5902,2.4580236605242917e-05
Control1129,0,Fp1,5903,2.3786592225708007e-05
Control1129,0,Fp1,5904,2.7777648651104734e-05
Control1129,0,Fp1,5905,2.791070403151245e-05
Control1129,0,Fp1,5906,2.9068961757385253e-05
Control1129,0,Fp1,5907,3.364437586050415e-05
Control1129,0,Fp1,5908,3.3238733677941896e-05
Control1129,0,Fp1,5909,2.6925839108746337e-05
Control1129,0,Fp1,5910,2.5740956001684568e-05
Control1129,0,Fp1,5911,2.9047954111090087e-05
Control1129,0,Fp1,5912,3.313515575951538e-05
Control1129,0,Fp1,5913,3.0044486637097168e-05
Control1129,0,Fp1,5914,2.3097814714382935e-05
Control1129,0,Fp1,5915,2.8797793545050047e-05
Control1129,0,Fp1,5916,4.035470505687866e-05
Control1129,0,Fp1,5917,4.033772370227661e-05
Control1129,0,Fp1,5918,3.421809709481201e-05
Control1129,0,Fp1,5919,3.171296582147827e-05
Control1129,0,Fp1,5920,3.370009127368164e-05
Control1129,0,Fp1,5921,3.817653787528686e-05
Control1129,0,Fp1,5922,3.4596216846740724e-05
Control1129,0,Fp1,5923,2.7550602754473875e-05
Control1129,0,Fp1,5924,3.168703483404541e-05
Control1129,0,Fp1,5925,3.220952590239868e-05
Control1129,0,Fp1,5926,2.907027901936035e-05
Control1129,0,Fp1,5927,3.061875325362549e-05
Control1129,0,Fp1,5928,3.177621823812866e-05
Control1129,0,Fp1,5929,3.3519209150793454e-05
Control1129,0,Fp1,5930,3.5603454361468505e-05
Control1129,0,Fp1,5931,2.982689701251831e-05
Control1129,0,Fp1,5932,2.2782621043841553e-05
Control1129,0,Fp1,5933,2.0720097244717407e-05
Control1129,0,Fp1,5934,1.8658156080697632e-05
Control1129,0,Fp1,5935,2.0258387981753538e-05
Control1129,0,Fp1,5936,2.8741952962182617e-05
Control1129,0,Fp1,5937,3.116929127321777e-05
Control1129,0,Fp1,5938,2.3001742507006836e-05
Control1129,0,Fp1,5939,2.1964395721386718e-05
Control1129,0,Fp1,5940,2.898283905024414e-05
Control1129,0,Fp1,5941,3.199595958928222e-05
Control1129,0,Fp1,5942,2.9540252462091063e-05
Control1129,0,Fp1,5943,2.928219130443115e-05
Control1129,0,Fp1,5944,2.8975382513000488e-05
Control1129,0,Fp1,5945,2.578820755963745e-05
Control1129,0,Fp1,5946,2.5921775539727783e-05
Control1129,0,Fp1,5947,2.717819014436035e-05
Control1129,0,Fp1,5948,2.7604288630535886e-05
Control1129,0,Fp1,5949,3.1594212568261715e-05
Control1129,0,Fp1,5950,3.450894079031372e-05
Control1129,0,Fp1,5951,3.078316066113281e-05
Control1129,0,Fp1,5952,2.1834566440725706e-05
Control1129,0,Fp1,5953,1.6989481691204833e-05
Control1129,0,Fp1,5954,1.6393210541207885e-05
Control1129,0,Fp1,5955,1.2770193237353515e-05
Control1129,0,Fp1,5956,5.437788935883331e-06
Control1129,0,Fp1,5957,8.945763001229858e-06
Control1129,0,Fp1,5958,1.8311288518139648e-05
Control1129,0,Fp1,5959,1.820285282365112e-05
Control1129,0,Fp1,5960,1.1210658621855163e-05
Control1129,0,Fp1,5961,8.370243197686767e-06
Control1129,0,Fp1,5962,9.289861929455566e-06
Control1129,0,Fp1,5963,8.012266825146485e-06
Control1129,0,Fp1,5964,1.0396622758724975e-05
Control1129,0,Fp1,5965,1.6100145083709717e-05
Control1129,0,Fp1,5966,1.8921602515255736e-05
Control1129,0,Fp1,5967,2.1888726173471067e-05
Control1129,0,Fp1,5968,2.2413948623272704e-05
Control1129,0,Fp1,5969,2.2890201412115477e-05
Control1129,0,Fp1,5970,2.4489205458117674e-05
Control1129,0,Fp1,5971,2.3695519355352784e-05
Control1129,0,Fp1,5972,2.2023273159350586e-05
Control1129,0,Fp1,5973,1.8642758718719482e-05
Control1129,0,Fp1,5974,1.8534218716156005e-05
Control1129,0,Fp1,5975,1.9158027197940062e-05
Control1129,0,Fp1,5976,1.6901207257489013e-05
Control1129,0,Fp1,5977,2.030828449446411e-05
Control1129,0,Fp1,5978,1.956459474213867e-05
Control1129,0,Fp1,5979,1.7258836433151243e-05
Control1129,0,Fp1,5980,1.871296252350769e-05
Control1129,0,Fp1,5981,2.304712546030273e-05
Control1129,0,Fp1,5982,2.46460758621521e-05
Control1129,0,Fp1,5983,2.3217658732040403e-05
Control1129,0,Fp1,5984,2.2326678527307128e-05
Control1129,0,Fp1,5985,2.465814728665466e-05
Control1129,0,Fp1,5986,2.3669116001351926e-05
Control1129,0,Fp1,5987,1.7798243291030884e-05
Control1129,0,Fp1,5988,1.515122770380249e-05
Control1129,0,Fp1,5989,1.5483054041952514e-05
Control1129,0,Fp1,5990,1.615653402902832e-05
Control1129,0,Fp1,5991,1.6048683949874878e-05
Control1129,0,Fp1,5992,1.515972434156494e-05
Control1129,0,Fp1,5993,1.5345082770983887e-05
Control1129,0,Fp1,5994,1.5335101978326416e-05
Control1129,0,Fp1,5995,1.72291518451355e-05
Control1129,0,Fp1,5996,2.2686611421310424e-05
Control1129,0,Fp1,5997,2.106345260538025e-05
Control1129,0,Fp1,5998,1.3679852038079833e-05
Control1129,0,Fp1,5999,1.4988511577224731e-05
Control1129,0,Fp1,6000,2.0056033296578977e-05
Control1129,0,Fp1,6001,1.848243720751953e-05
Control1129,0,Fp1,6002,1.4321762441213989e-05
Control1129,0,Fp1,6003,1.2700965458123778e-05
Control1129,0,Fp1,6004,1.2154693638796997e-05
Control1129,0,Fp1,6005,1.3073211175317382e-05
Control1129,0,Fp1,6006,1.3747363204418944e-05
Control1129,0,Fp1,6007,1.2175547803210448e-05
Control1129,0,Fp1,6008,1.079946128924408e-05
Control1129,0,Fp1,6009,1.0741936876023864e-05
Control1129,0,Fp1,6010,8.878043218740844e-06
Control1129,0,Fp1,6011,8.23520596385498e-06
Control1129,0,Fp1,6012,8.080762957736206e-06
Control1129,0,Fp1,6013,9.390999038928222e-06
Control1129,0,Fp1,6014,6.453419897885131e-06
Control1129,0,Fp1,6015,6.738870120854187e-06
Control1129,0,Fp1,6016,1.2687497795532226e-05
Control1129,0,Fp1,6017,1.6339846530062866e-05
